id,tier,requirement,acceptance,evidence_ref,metric_ref,cadence
GATE-UT,Gate checks,Repo unit tests + coverage (all modules),"All unit tests pass; min coverage >= 70%.","junit_bundle:outputs/traceability/unit_tests/anthroDisturbance_Generator/junit,outputs/traceability/unit_tests/anthroDisturbance_DataPrep/junit,outputs/traceability/unit_tests/potentialResourcesNT_DataPrep/junit;coverage_bundle:outputs/traceability/unit_tests/anthroDisturbance_Generator/coverage.txt,outputs/traceability/unit_tests/anthroDisturbance_DataPrep/coverage.txt,outputs/traceability/unit_tests/potentialResourcesNT_DataPrep/coverage.txt?min=70","junit_bundle:outputs/traceability/unit_tests/anthroDisturbance_Generator/junit,outputs/traceability/unit_tests/anthroDisturbance_DataPrep/junit,outputs/traceability/unit_tests/potentialResourcesNT_DataPrep/junit;coverage_bundle:outputs/traceability/unit_tests/anthroDisturbance_Generator/coverage.txt,outputs/traceability/unit_tests/anthroDisturbance_DataPrep/coverage.txt,outputs/traceability/unit_tests/potentialResourcesNT_DataPrep/coverage.txt?min=70","CI (per PR)"
DP-01,Benchmark evidence,ODD 7.1 createDisturbanceList loads/filters/merges inputs and returns nested disturbance list,"All createDisturbanceList unit tests pass (loading stubs, filtering, merging, caching).","junit:outputs/traceability/unit_tests/anthroDisturbance_DataPrep/junit/test-createDisturbanceList.xml","junit:outputs/traceability/unit_tests/anthroDisturbance_DataPrep/junit/test-createDisturbanceList.xml","CI (per PR)"
DP-02,Benchmark evidence,ODD 7.1 harmonizeList merges duplicate classes while excluding patterns (e.g. potential),"harmonizeList unit tests pass for merge and exclude semantics.","junit:outputs/traceability/unit_tests/anthroDisturbance_DataPrep/junit/test-harmonizeList.xml","junit:outputs/traceability/unit_tests/anthroDisturbance_DataPrep/junit/test-harmonizeList.xml","CI (per PR)"
PR-01,Benchmark evidence,ODD 7.2 createPotentialMining combines mining claim/permit evidence into a single Potential layer,"makePotentialMining unit tests pass (status prioritization, dropping unknown statuses, CRS handling).","junit:outputs/traceability/unit_tests/potentialResourcesNT_DataPrep/junit/test-makePotentialMining.xml","junit:outputs/traceability/unit_tests/potentialResourcesNT_DataPrep/junit/test-makePotentialMining.xml","CI (per PR)"
PR-02,Benchmark evidence,ODD 7.2 createPotentialOilGas combines prospectivity and claims into Potential with claims prioritized,"makePotentialOilGas unit tests pass (Potential mapping, claim overrides, error handling).","junit:outputs/traceability/unit_tests/potentialResourcesNT_DataPrep/junit/test-makePotentialOilGas.xml","junit:outputs/traceability/unit_tests/potentialResourcesNT_DataPrep/junit/test-makePotentialOilGas.xml","CI (per PR)"
PR-03,Benchmark evidence,ODD 7.2 createPotentialSeismicLines derives seismic Potential from oil/gas potential and claims,"makePotentialSeismicLines unit tests pass (Potential derivation, claim overrides, input validation).","junit:outputs/traceability/unit_tests/potentialResourcesNT_DataPrep/junit/test-makePotentialSeismicLines.xml","junit:outputs/traceability/unit_tests/potentialResourcesNT_DataPrep/junit/test-makePotentialSeismicLines.xml","CI (per PR)"
PR-04,Benchmark evidence,ODD 7.2 createPotentialCutblocks derives forestry Potential layer from candidate cutblocks,"makePotentialCutblocks unit tests pass (suitability filtering + NULL/empty handling).","junit:outputs/traceability/unit_tests/potentialResourcesNT_DataPrep/junit/test-makePotentialCutblocks.xml","junit:outputs/traceability/unit_tests/potentialResourcesNT_DataPrep/junit/test-makePotentialCutblocks.xml","CI (per PR)"
GEN-CAP-01,Benchmark evidence,ODD 7.3 rates + scheduling honored,"Rate + scheduling unit tests pass (calculateRate, calculateSize, whichDisturbancesToGenerate).","junit_bundle:outputs/traceability/unit_tests/anthroDisturbance_Generator/junit?include_regex=calculateRate|calculateSize|whichDisturbancesToGenerate","junit_bundle:outputs/traceability/unit_tests/anthroDisturbance_Generator/junit?include_regex=calculateRate|calculateSize|whichDisturbancesToGenerate","CI (per PR)"
GEN-CAP-02,Benchmark evidence,ODD 7.4 masking/avoidance constraints enforced,"Masking + filtering unit tests pass (generateDisturbancesShp, extractNonPotentialLayers, cleanupList, createCropLayFinalYear1).","junit_bundle:outputs/traceability/unit_tests/anthroDisturbance_Generator/junit?include_regex=generateDisturbancesShp|extractNonPotentialLayers|cleanupList|createCropLayFinalYear1","junit_bundle:outputs/traceability/unit_tests/anthroDisturbance_Generator/junit?include_regex=generateDisturbancesShp|extractNonPotentialLayers|cleanupList|createCropLayFinalYear1","CI (per PR)"
GEN-CAP-03,Benchmark evidence,ODD 7.4 buffer/influence-zone logic consistent,"Buffer + line geometry tests pass (createBufferedDisturbances, generateLine, calculateLineAngle, getRasterMiddlePoint).","junit_bundle:outputs/traceability/unit_tests/anthroDisturbance_Generator/junit?include_regex=createBufferedDisturbances|generateLine|calculateLineAngle|getRasterMiddlePoint","junit_bundle:outputs/traceability/unit_tests/anthroDisturbance_Generator/junit?include_regex=createBufferedDisturbances|generateLine|calculateLineAngle|getRasterMiddlePoint","CI (per PR)"
