"id","tier","requirement","evidence","acceptance","metric","status","cadence","as_of"
"GATE-UT","Gate checks","Repo unit tests + coverage (all modules)","outputs/traceability/unit_tests/anthroDisturbance_Generator/junit,outputs/traceability/unit_tests/anthroDisturbance_DataPrep/junit,outputs/traceability/unit_tests/potentialResourcesNT_DataPrep/junit (empty); outputs/traceability/unit_tests/anthroDisturbance_Generator/coverage.txt,outputs/traceability/unit_tests/anthroDisturbance_DataPrep/coverage.txt,outputs/traceability/unit_tests/potentialResourcesNT_DataPrep/coverage.txt (missing)","All unit tests pass; min coverage >= 70%.","empty; missing","Not evaluated","CI (per PR)","2026-05-11"
"DP-01","Benchmark evidence","ODD 7.1 createDisturbanceList loads/filters/merges inputs and returns nested disturbance list","outputs/traceability/unit_tests/anthroDisturbance_DataPrep/junit/test-createDisturbanceList.xml (missing)","All createDisturbanceList unit tests pass (loading stubs, filtering, merging, caching).","missing","Not evaluated","CI (per PR)","2026-05-11"
"DP-02","Benchmark evidence","ODD 7.1 harmonizeList merges duplicate classes while excluding patterns (e.g. potential)","outputs/traceability/unit_tests/anthroDisturbance_DataPrep/junit/test-harmonizeList.xml (missing)","harmonizeList unit tests pass for merge and exclude semantics.","missing","Not evaluated","CI (per PR)","2026-05-11"
"PR-01","Benchmark evidence","ODD 7.2 createPotentialMining combines mining claim/permit evidence into a single Potential layer","outputs/traceability/unit_tests/potentialResourcesNT_DataPrep/junit/test-makePotentialMining.xml (missing)","makePotentialMining unit tests pass (status prioritization, dropping unknown statuses, CRS handling).","missing","Not evaluated","CI (per PR)","2026-05-11"
"PR-02","Benchmark evidence","ODD 7.2 createPotentialOilGas combines prospectivity and claims into Potential with claims prioritized","outputs/traceability/unit_tests/potentialResourcesNT_DataPrep/junit/test-makePotentialOilGas.xml (missing)","makePotentialOilGas unit tests pass (Potential mapping, claim overrides, error handling).","missing","Not evaluated","CI (per PR)","2026-05-11"
"PR-03","Benchmark evidence","ODD 7.2 createPotentialSeismicLines derives seismic Potential from oil/gas potential and claims","outputs/traceability/unit_tests/potentialResourcesNT_DataPrep/junit/test-makePotentialSeismicLines.xml (missing)","makePotentialSeismicLines unit tests pass (Potential derivation, claim overrides, input validation).","missing","Not evaluated","CI (per PR)","2026-05-11"
"PR-04","Benchmark evidence","ODD 7.2 createPotentialCutblocks derives forestry Potential layer from candidate cutblocks","outputs/traceability/unit_tests/potentialResourcesNT_DataPrep/junit/test-makePotentialCutblocks.xml (missing)","makePotentialCutblocks unit tests pass (suitability filtering + NULL/empty handling).","missing","Not evaluated","CI (per PR)","2026-05-11"
"GEN-CAP-01","Benchmark evidence","ODD 7.3 rates + scheduling honored","outputs/traceability/unit_tests/anthroDisturbance_Generator/junit (empty)","Rate + scheduling unit tests pass (calculateRate, calculateSize, whichDisturbancesToGenerate).","empty","Not evaluated","CI (per PR)","2026-05-11"
"GEN-CAP-02","Benchmark evidence","ODD 7.4 masking/avoidance constraints enforced","outputs/traceability/unit_tests/anthroDisturbance_Generator/junit (empty)","Masking + filtering unit tests pass (generateDisturbancesShp, extractNonPotentialLayers, cleanupList, createCropLayFinalYear1).","empty","Not evaluated","CI (per PR)","2026-05-11"
"GEN-CAP-03","Benchmark evidence","ODD 7.4 buffer/influence-zone logic consistent","outputs/traceability/unit_tests/anthroDisturbance_Generator/junit (empty)","Buffer + line geometry tests pass (createBufferedDisturbances, generateLine, calculateLineAngle, getRasterMiddlePoint).","empty","Not evaluated","CI (per PR)","2026-05-11"
"GEN-CAP-04","Benchmark evidence","ODD 7.4 linear clustering + placement behaves as specified","outputs/traceability/unit_tests/anthroDisturbance_Generator/junit (empty)","Linear clustering tests pass (clusterLines, simulateLines).","empty","Not evaluated","CI (per PR)","2026-05-11"
"GEN-CAP-05","Benchmark evidence","ODD 7.5 layer integration + persistence","outputs/traceability/unit_tests/anthroDisturbance_Generator/junit (empty)","Integration + persistence tests pass (replaceListFast, saveDisturbances, anthroDisturbance_Generator, createModObject, disturbanceInfoFromECCC, wrapTerraList, grepMulti).","empty","Not evaluated","CI (per PR)","2026-05-11"
"WS-01","Benchmark evidence","Workspace system suite runs complete successfully","docs/traceability/evidence/suite_runs/system_runs.csv (pass)","Latest status per (run_name, replicate) for system runs is success.","runs: 4/4 success; run_names 4; success_rate 100.0%","Met","Snapshot (manual)","2026-05-11"
"WS-02","Benchmark evidence","Workspace ADQD validation suite runs complete successfully","docs/traceability/evidence/suite_runs/adqd_validation_runs.csv (pass)","Latest status per (run_name, replicate) for ADQD validation runs is success.","runs: 40/40 success; run_names 4; success_rate 100.0%","Met","Snapshot (manual)","2026-05-11"
"WS-03","Benchmark evidence","Workspace sensitivity suite runs complete successfully","docs/traceability/evidence/suite_runs/sensitivity_runs.csv (pass)","Latest status per (run_name, replicate) for sensitivity runs is success.","runs: 240/240 success; run_names 60; success_rate 100.0%","Met","Snapshot (manual)","2026-05-11"
"WS-04","Benchmark evidence","Workspace uncertainty suite runs complete successfully","docs/traceability/evidence/suite_runs/uncertainty_runs.csv (pass)","Latest status per (run_name, replicate) for uncertainty runs is success.","runs: 82/82 success; run_names 13; success_rate 100.0%","Met","Snapshot (manual)","2026-05-11"
"MET-UA-KEY","Benchmark evidence","Uncertainty suite key metrics summary is produced and parseable","docs/traceability/evidence/metrics/ua_key_metrics_summary.csv (pass)","ua_key_metrics_summary.csv is present and reports medians + uncertainty magnitudes (CV/IQR, shifts).","rows 4; year 2031; base_median 159.462; random_median 137.800; sitesel_median 137.014 km^2; base_cv 0.014; base_iqr 4.324 km^2; random_shift_pct -13.6%; sitesel_shift_pct -14.1%","Met","Snapshot (manual)","2026-05-11"
"MET-ADQD-VER","Benchmark evidence","ADQD VERIFICATION metrics summary is produced and parseable","docs/traceability/evidence/metrics/adqd_VERIFICATION__adqd_summary.csv (pass)","VERIFICATION ADQD summary CSV is present and key metrics are reported (change prevalence, F1/IoU, QD/AD, rho, linear distance).","rows 18; change_prevalence_obs 0.01120; change_prevalence_sim 0.00550; change_mask_f1 0.3539; change_mask_iou 0.2150; QD_change 0.4750; AD_change 0.3336; spearman_rho_10km 0.5826; linear_p90_m 14634.0","Met","Snapshot (manual)","2026-05-11"
"MET-ADQD-HOLD","Benchmark evidence","ADQD HOLDOUT metrics summary is produced and parseable","docs/traceability/evidence/metrics/adqd_HOLDOUT__adqd_summary.csv (pass)","HOLDOUT ADQD summary CSV is present and key metrics are reported (change prevalence, F1/IoU, QD/AD, rho, linear distance).","rows 20; change_prevalence_obs 0.00828; change_prevalence_sim 0.00583; change_mask_f1 0.1658; change_mask_iou 0.0904; QD_change 0.3132; AD_change 0.6212; spearman_rho_10km 0.5149; linear_p90_m 23734.6","Met","Snapshot (manual)","2026-05-11"
"MET-ADQD-VER-CAR","Benchmark evidence","ADQD VERIFICATION_CARIBOU metrics summary is produced and parseable","docs/traceability/evidence/metrics/adqd_VERIFICATION_CARIBOU__adqd_summary.csv (pass)","VERIFICATION_CARIBOU ADQD summary CSV is present and key metrics are reported (change prevalence, F1/IoU, QD/AD, rho, linear distance).","rows 20; change_prevalence_obs 0.03243; change_prevalence_sim 0.02519; change_mask_f1 0.1694; change_mask_iou 0.0926; QD_change 0.2999; AD_change 0.6662; spearman_rho_10km 0.5257; linear_p90_m 28100.0","Met","Snapshot (manual)","2026-05-11"
"MET-ADQD-HOLD-CAR","Benchmark evidence","ADQD HOLDOUT_CARIBOU metrics summary is produced and parseable","docs/traceability/evidence/metrics/adqd_HOLDOUT_CARIBOU__adqd_summary.csv (pass)","HOLDOUT_CARIBOU ADQD summary CSV is present and key metrics are reported (change prevalence, F1/IoU, QD/AD, rho, linear distance).","rows 20; change_prevalence_obs 0.03725; change_prevalence_sim 0.02564; change_mask_f1 0.1336; change_mask_iou 0.0716; QD_change 0.3480; AD_change 0.6367; spearman_rho_10km 0.4670; linear_p90_m 36961.6","Met","Snapshot (manual)","2026-05-11"
"MET-SA-QC","Benchmark evidence","Sensitivity suite standard metrics summary (pending)","docs/traceability/evidence/metrics/sa_standard_metrics_pending.txt (missing)","Pending: standard SA pipeline outputs are not currently produced.","missing","Not evaluated","Snapshot (manual)","2026-05-11"
